time,data,noise,global_outlier,constant
2023-08-26 00:27:20+00:00,2.927,False,False,False
2023-08-26 00:27:30+00:00,2.927,False,False,False
2023-08-26 00:27:40+00:00,2.927,False,False,False
2023-08-26 00:27:50+00:00,3.811,False,False,False
2023-08-26 00:28:00+00:00,4.404,False,False,False
2023-08-26 00:28:10+00:00,4.404,False,False,False
2023-08-26 00:28:20+00:00,3.62,False,False,False
2023-08-26 00:28:30+00:00,3.62,False,False,False
2023-08-26 00:28:40+00:00,3.948,False,False,False
2023-08-26 00:28:50+00:00,3.948,False,False,False
2023-08-26 00:29:00+00:00,4.814,False,False,False
2023-08-26 00:29:10+00:00,4.814,False,False,False
2023-08-26 00:29:20+00:00,2.146,False,False,False
2023-08-26 00:29:30+00:00,3.757,False,False,False
2023-08-26 00:29:40+00:00,3.757,False,False,False
2023-08-26 00:29:50+00:00,3.103,False,False,False
2023-08-26 00:30:00+00:00,3.103,False,False,False
2023-08-26 00:30:10+00:00,2.716,False,False,False
2023-08-26 00:30:20+00:00,2.716,False,False,False
2023-08-26 00:30:30+00:00,3.426,False,False,False
2023-08-26 00:30:40+00:00,3.426,False,False,False
2023-08-26 00:30:50+00:00,3.66,False,False,False
2023-08-26 00:31:00+00:00,3.209,False,False,False
2023-08-26 00:31:10+00:00,3.209,False,False,False
2023-08-26 00:31:20+00:00,3.209,False,False,False
2023-08-26 00:31:30+00:00,4.631,False,False,False
2023-08-26 00:31:40+00:00,2.477,False,False,False
2023-08-26 00:31:50+00:00,2.477,False,False,False
2023-08-26 00:32:00+00:00,3.329,False,False,False
2023-08-26 00:32:10+00:00,3.329,False,False,False
2023-08-26 00:32:20+00:00,4.205,False,False,False
2023-08-26 00:32:30+00:00,4.205,False,False,False
2023-08-26 00:32:40+00:00,3.281,False,False,False
2023-08-26 00:32:50+00:00,3.281,False,False,False
2023-08-26 00:33:00+00:00,2.355,False,False,False
2023-08-26 00:33:10+00:00,2.996,False,False,False
2023-08-26 00:33:20+00:00,2.996,False,False,False
2023-08-26 00:33:30+00:00,2.96,False,False,False
2023-08-26 00:33:40+00:00,2.96,False,False,False
2023-08-26 00:33:50+00:00,3.356,False,False,False
2023-08-26 00:34:00+00:00,3.356,False,False,False
2023-08-26 00:34:10+00:00,3.8,False,False,False
2023-08-26 00:34:20+00:00,3.8,False,False,False
2023-08-26 00:34:30+00:00,4.177,False,False,False
2023-08-26 00:34:40+00:00,4.437,False,False,False
2023-08-26 00:34:50+00:00,4.437,False,False,False
2023-08-26 00:35:00+00:00,4.437,False,False,False
2023-08-26 00:35:10+00:00,3.023,False,False,False
2023-08-26 00:35:20+00:00,3.443,False,False,False
2023-08-26 00:35:30+00:00,3.443,False,False,False
2023-08-26 00:35:40+00:00,3.814,False,False,False
2023-08-26 00:35:50+00:00,3.814,False,False,False
2023-08-26 00:36:00+00:00,4.216,False,False,False
2023-08-26 00:36:10+00:00,4.216,False,False,False
2023-08-26 00:36:20+00:00,6.01,False,False,False
2023-08-26 00:36:30+00:00,6.01,False,False,False
2023-08-26 00:36:40+00:00,4.471,False,False,False
2023-08-26 00:36:50+00:00,2.809,False,False,False
2023-08-26 00:37:00+00:00,2.809,False,False,False
2023-08-26 00:37:10+00:00,4.7,False,False,False
2023-08-26 00:37:20+00:00,4.7,False,False,False
2023-08-26 00:37:30+00:00,3.298,False,False,False
2023-08-26 00:37:40+00:00,3.298,False,False,False
2023-08-26 00:37:50+00:00,3.849,False,False,False
2023-08-26 00:38:00+00:00,3.849,False,False,False
2023-08-26 00:38:10+00:00,3.218,False,False,False
2023-08-26 00:38:20+00:00,4.139,False,False,False
2023-08-26 00:38:30+00:00,4.139,False,False,False
2023-08-26 00:38:40+00:00,4.139,False,False,False
2023-08-26 00:38:50+00:00,4.501,False,False,False
2023-08-26 00:39:00+00:00,4.569,False,False,False
2023-08-26 00:39:10+00:00,4.569,False,False,False
2023-08-26 00:39:20+00:00,3.401,False,False,False
2023-08-26 00:39:30+00:00,3.401,False,False,False
2023-08-26 00:39:40+00:00,5.107,False,False,False
2023-08-26 00:39:50+00:00,5.107,False,False,False
2023-08-26 00:40:00+00:00,3.323,False,False,False
2023-08-26 00:40:10+00:00,3.323,False,False,False
2023-08-26 00:40:20+00:00,5.091,False,False,False
2023-08-26 00:40:30+00:00,3.669,False,False,False
2023-08-26 00:40:40+00:00,3.669,False,False,False
2023-08-26 00:40:50+00:00,3.162,False,False,False
2023-08-26 00:41:00+00:00,3.162,False,False,False
2023-08-26 00:41:10+00:00,3.811,False,False,False
2023-08-26 00:41:20+00:00,3.811,False,False,False
2023-08-26 00:41:30+00:00,3.502,False,False,False
2023-08-26 00:41:40+00:00,3.502,False,False,False
2023-08-26 00:41:50+00:00,3.854,False,False,False
2023-08-26 00:42:00+00:00,3.576,False,False,False
2023-08-26 00:42:10+00:00,3.576,False,False,False
2023-08-26 00:42:20+00:00,3.576,False,False,False
2023-08-26 00:42:30+00:00,3.564,False,False,False
2023-08-26 00:42:40+00:00,5.011,False,False,False
2023-08-26 00:42:50+00:00,5.011,False,False,False
2023-08-26 00:43:00+00:00,4.194,False,False,False
2023-08-26 00:43:10+00:00,4.194,False,False,False
2023-08-26 00:43:20+00:00,3.367,False,False,False
2023-08-26 00:43:30+00:00,3.367,False,False,False
2023-08-26 00:43:40+00:00,3.203,False,False,False
2023-08-26 00:43:50+00:00,3.203,False,False,False
2023-08-26 00:44:00+00:00,3.889,False,False,False
2023-08-26 00:44:10+00:00,4.297,False,False,False
2023-08-26 00:44:20+00:00,4.297,False,False,False
2023-08-26 00:44:30+00:00,3.679,False,False,False
2023-08-26 00:44:40+00:00,3.679,False,False,False
2023-08-26 00:44:50+00:00,4.043,False,False,False
2023-08-26 00:45:00+00:00,4.043,False,False,False
2023-08-26 00:45:10+00:00,2.992,False,False,False
2023-08-26 00:45:20+00:00,2.992,False,False,False
2023-08-26 00:45:30+00:00,3.907,False,False,False
2023-08-26 00:45:40+00:00,3.629,False,False,False
2023-08-26 00:45:50+00:00,3.629,False,False,False
2023-08-26 00:46:00+00:00,3.629,False,False,False
2023-08-26 00:46:10+00:00,3.613,False,False,False
2023-08-26 00:46:20+00:00,3.026,False,False,False
2023-08-26 00:46:30+00:00,3.026,False,False,False
2023-08-26 00:46:40+00:00,3.947,False,False,False
2023-08-26 00:46:50+00:00,3.947,False,False,False
2023-08-26 00:47:00+00:00,3.941,False,False,False
2023-08-26 00:47:10+00:00,3.941,False,False,False
2023-08-26 00:47:20+00:00,4.213,False,False,False
2023-08-26 00:47:30+00:00,4.213,False,False,False
